COLUMN,UseforDiagram,TYPE,DISTINCT VALUES,VALUES INFO,SAMPLE DATA,TOTAL ROWS,ISUNIQUE,DB DATA TYPE,DB TYPE DETAILS,NULL COUNT,SORTORDER,TableName,NULL PCT
Transaction_#_____MDORDR,1,PK,455,"402158.0, 402072.0, 401726.0, 401983.0, 401861.0",Distinct: 455,455,1,nvarchar,(MAX),0,4,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
ITEM_NUMBER_____MDITEM,1,FK,203,"51318, 51070, 51121, 51738, 52426",Distinct: 203,455,0,nvarchar,(MAX),0,4,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
Inventory_Code_____MDINVC,1,FK,2,"F, F, F, F, F","F (450), W (5)",455,0,nvarchar,(MAX),0,2,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
CRT_DESCRIPTION_____MDCRTD,1,Text,219,"19.500 4.750 7.375 HF F22  80 KSI N, 5.500 BAR HF 4340 125 KSI NQT      , 5.500 BAR HF 8630MOD 125 KSI NQT   , 11.500 BAR HF 8620  AR             , 11.000 5.750 2.625 HF  4140 LN80 NQ",Distinct: 219,455,0,nvarchar,(MAX),120562,4,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
Size_1_____MDSIZ1,1,Text,64,"8.0, 11.0, 9.0, 6.75, 8.0",Distinct: 64,455,0,nvarchar,(MAX),68,4,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
Size_2_____MDSIZ2,1,Text,48,"3.5, 5.5, 0.0, 7.0, 0.0",Distinct: 48,455,0,nvarchar,(MAX),22,4,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
Size_3_____MDSIZ3,1,Text,39,"0.0, 0.0, 2.5, 1.125, 0.57899999999999996",Distinct: 39,455,0,nvarchar,(MAX),0,4,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
PROC_STATUS_CODE_____MDMSTS,1,FK,1,"1, 1, 1, 1, 1",1 (455),455,0,nvarchar,(MAX),0,2,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
Record_Code_____MDRECD,1,FK,2,"I, I, I, I, I","I (443), A (12)",455,0,nvarchar,(MAX),277594,2,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
TAG_CODE_____MDTAGC,1,FK,1,"T, T, T, T, T",T (455),455,0,nvarchar,(MAX),0,2,z_Material_Processing_Order_Detail_____MPDETAIL,0.00%
