COLUMN,UseforDiagram,TYPE,DISTINCT VALUES,VALUES INFO,SAMPLE DATA,TOTAL ROWS,ISUNIQUE,DB DATA TYPE,DB TYPE DETAILS,NULL COUNT,SORTORDER,TableName,NULL PCT
Trans_Length_____IHLNTH,1,FK,"2,660",-722325,"84.0, 100.0, 247.0, 147.0, 16.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
CUSTOMER_NUMBER_____IHCUST,1,FK,"1,128","0.0 (405424), 1.0 (316901)","102.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
TAG_NUMBER_ALPHA_____IHTAG,1,FK,"288,333","    (719873), EA  (1581), NC  (588), IN  (224), FT  (40), LOT (18), LB  (1)","       ,  197256,  309831,  300275,  125949","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Heat_#_____IHHEAT,1,FK,"16,846","3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","88879          , X0959          , 42557          , D1716574       , D2114028       ","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Extended_Trans_Price_____IHEPRC,1,Text,947,"    (719873), EA  (1581), NC  (588), IN  (224), FT  (40), LOT (18), LB  (1)","0.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
PROCESSED_YEAR_____IHPRPY,1,Date,10,"0.0 (405424), 22.0 (55625), 23.0 (42497), 24.0 (40250), 21.0 (39430), 18.0 (36411), 19.0 (35462), 17.0 (29634), 20.0 (24285), 25.0 (13307)","0.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_YY_____IHTRYY,1,Date,9,"22.0 (131073), 23.0 (99020), 18.0 (88538), 24.0 (88306), 21.0 (86810), 19.0 (83073), 17.0 (60749), 20.0 (55041), 25.0 (29715)","24.0, 20.0, 23.0, 19.0, 19.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_MM_____IHTRMM,1,Date,12,"3.0 (72937), 2.0 (66930), 4.0 (64949), 1.0 (62606), 5.0 (60616), 6.0 (60563), 8.0 (60113), 10.0 (59492), 7.0 (55260), 9.0 (54727)","5.0, 5.0, 7.0, 12.0, 8.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_Width_____IHWDTH,1,Text,25,-722325,"0.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Extended_Trans_Cost_____IHECST,1,Text,"357,741","FT  (706216), LB  (16081), EA  (28)","-2260.0300000000002, 38.979999999999997, 667.25999999999999, 7190.4399999999996, -105.40000000000001","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Qty_On_Hand_____IHQOH,1,Text,"240,060","0.0 (388087), 1.0 (334120), 3.0 (63), 2.0 (55)","153.751, 190.916, 0.0, 3866.335, 30.082000000000001","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Average_Cost_____IHACST,1,Text,"142,655","0.0 (388087), 1.0 (334120), 3.0 (63), 2.0 (55)","89.7714, 521.55330000000004, 214.6643, 419.69420000000002, 143.66810000000001","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_Cost_____IHTCST,1,Text,"52,826","IA (336352), IN (205395), RE (111044), PO (59739), OR (5016), OW (4317), CR (462)","58.1068, 77.646799999999999, 23.424800000000001, 26.8626, 89.329499999999996","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_Price_____IHTPRC,1,Text,"1,034","FT  (706216), LB  (16081), EA  (28)","0.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_Inv_Qty_____IHTQTY,1,Text,"17,922","IA (336352), IN (205395), RE (111044), PO (59739), OR (5016), OW (4317), CR (462)","0.91600000000000004, -20.584, 11.75, -4.5830000000000002, -27.5","722,325",0,nvarchar,(MAX),0,8,z_Item_Transaction_History_____ITEMHIST,0.00%
Assoc_PO_Line_____IHPOLN,1,Category/Code,4,"0.0 (388087), 1.0 (334120), 3.0 (63), 2.0 (55)","0.0, 0.0, 0.0, 1.0, 1.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Workstation_ID_____IHWSID,1,FK,1,-722325,"          ,           ,           ,           ,           ","722,325",0,nvarchar,(MAX),0,2,z_Item_Transaction_History_____ITEMHIST,0.00%
PROCESSED_PERIOD_____IHPRPP,1,Category/Code,13,"0.0 (405424), 3.0 (32180), 2.0 (29626), 4.0 (28333), 1.0 (28147), 5.0 (27021), 6.0 (26520), 10.0 (26217), 8.0 (26189), 7.0 (24580)","2.0, 8.0, 0.0, 0.0, 11.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
G/L_FISCAL_PERIOD_____IHGLPP,1,Category/Code,12,"3.0 (72535), 2.0 (67446), 4.0 (64416), 1.0 (63662), 5.0 (60683), 6.0 (60324), 10.0 (59813), 8.0 (59259), 7.0 (55751), 9.0 (55410)","3.0, 4.0, 4.0, 8.0, 2.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
L/M_MONTH_____IHLMMM,1,Category/Code,12,"3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","7.0, 5.0, 9.0, 3.0, 3.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
G/L_FISCAL_YEAR_____IHGLPY,1,Category/Code,9,"22.0 (130954), 23.0 (98984), 18.0 (88560), 24.0 (88370), 21.0 (87001), 19.0 (82937), 17.0 (60973), 20.0 (55145), 25.0 (29401)","19.0, 20.0, 23.0, 23.0, 24.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
L/M_YEAR_____IHLMYY,1,Date,9,"22.0 (130988), 23.0 (99105), 18.0 (88550), 24.0 (88306), 21.0 (86810), 19.0 (83078), 17.0 (60732), 20.0 (55041), 25.0 (29715)","23.0, 21.0, 23.0, 24.0, 18.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Remote_Inv_Vendor_____IHRIV,1,Category/Code,8,"0.0 (722189), 355.0 (98), 531.0 (28), 121.0 (4), 168.0 (2), 114.0 (2), 119.0 (1), 203.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_Price_UOM_____IHPUOM,1,Category/Code,7,"    (719873), EA  (1581), NC  (588), IN  (224), FT  (40), LOT (18), LB  (1)","   ,    ,    ,    ,    ","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Processed_by_M/E_____IHPRCD,1,Category/Code,5,"Y (710281), B (6199), N (5730),   (76), I (39)","Y, Y, Y, Y, Y","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Port_of_Entry_____IHPOE,1,Category/Code,4,"                          (719758), PT OF HOUSTON             (2364), DETROIT MI                (105), LAREDO TX                 (98)","                         ,                          ,                          ,                          ,                          ","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Trans_Cost_UOM_____IHTUOM,1,Category/Code,3,"FT  (706216), LB  (16081), EA  (28)","FT , FT , LB , FT , FT ","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
Assoc_PO_Dist_____IHPODS,1,Category/Code,2,"0.0 (386967), 1.0 (335358)","1.0, 0.0, 1.0, 1.0, 0.0","722,325",0,nvarchar,(MAX),0,7,z_Item_Transaction_History_____ITEMHIST,0.00%
CUSTOMER_NUMBER_____CCUST,1,PK,"1,278",1 (1278),"772, 1121, 1392, 1176, 850","1,278",1,numeric,"(5,0)",0,3,z_Customer_Master_File_____ARCUST,0.00%
Customer_Name_____CCUSTN,1,Text,"1,258",1 (1278),"APOLLO MACHINE & WELDING LTD       , U-TEC                              , RUHRPUMPEN INC                     , GULF COAST REPAIR & MACHINE SHOP   , TALLY PRODUCTION SYSTEMS           ","1,278",0,varchar,-35,0,8,z_Customer_Master_File_____ARCUST,0.00%
ORIG_CUST#_____CCUSTO,1,FK,"1,278",1 (1278),"647, 145, 319, 600, 259","1,278",1,numeric,"(5,0)",0,3,z_Customer_Master_File_____ARCUST,0.00%
Federal_Tax_I.D._____CFEDID,1,FK,625,-1278,"260770743                ,                          ,                          ,                          , 473209630                ","1,278",0,varchar,-25,0,2,z_Customer_Master_File_____ARCUST,0.00%
Customer_Alpha_Name_____CALPHA,1,Text,"1,266",1 (1278),"T&S MACHINE CO INC                 , HEARTY ENERGY SERVICES             , KEYSTONE ENERGY TOOLS LLC          , AZURE INTERNATIONAL                , RJ ENGINEERING SYSTEMS             ","1,278",0,varchar,-35,0,8,z_Customer_Master_File_____ARCUST,0.00%
Country_____CCTRY,1,Category/Code,20,"USA (1096), CAN (122), MEX (21), SGP (9), UK  (7), UAE (4), SA  (3), N   (2), TR  (2), VRC (2)","USA, USA, CAN, USA, USA","1,278",0,varchar,-3,0,7,z_Customer_Master_File_____ARCUST,0.00%
ZIP_CODE_12_POS_____CZIP,1,Category/Code,656,"    (1158), GST (120)","77032       , 77478       , T9E 7A5     , 70360       , 77060       ","1,278",0,varchar,-12,0,2,z_Customer_Master_File_____ARCUST,0.00%
City_____CCITY,1,Text,346,-1278,"HOUSTON                  , EDMONTON                 , SAN ANTONIO              , BOSSIER CITY             , DUBAI                    ","1,278",0,varchar,-25,0,8,z_Customer_Master_File_____ARCUST,0.00%
State_____CSTAT,1,Text,48,-1278,"TX, TX, VA, TX, OK","1,278",0,varchar,-2,0,8,z_Customer_Master_File_____ARCUST,0.00%
Address_1_____CADDR1,1,Text,"1,234",1 (1278),"14300 NW FRWY STE AJ               , 9140 TAVENOR LANE                  , PO BOX 2368                        , 10421 TANNER RD                    , 1614 ISOM ST                       ","1,278",0,varchar,-35,0,8,z_Customer_Master_File_____ARCUST,0.00%
Address_2_____CADDR2,1,Text,107,1 (1278),"                                   ,                                    ,                                    ,                                    ,                                    ","1,278",0,varchar,-35,0,8,z_Customer_Master_File_____ARCUST,0.00%
Address_3_____CADDR3,1,Text,21,1 (1278),"                                   ,                                    ,                                    ,                                    ,                                    ","1,278",0,varchar,-35,0,8,z_Customer_Master_File_____ARCUST,0.00%
Customer_Phone_Number_____CPHON,1,Text,"1,166","N (1277), Y (1)","713 466 8853      ,                   , 713 910 9991      , 281 456 7100      , 281 442 5900      ","1,278",0,varchar,-18,0,8,z_Customer_Master_File_____ARCUST,0.00%
E-MAIL_ADDRESS_____CEMAL,1,Text,981,1 (1278),"kellyjones@hornequipment.com                      , rms@etex.net                                      , DSQUALITY@AOL.COM                                 , paiged@qms.la                                     , ap@leanwerks.com                                  ","1,278",0,varchar,-50,0,8,z_Customer_Master_File_____ARCUST,0.00%
Fax_Phone_Number_____CFPHON,1,Text,549,"N (1277), Y (1)","                  ,                   , 979 830 0402      ,                   ,                   ","1,278",0,varchar,-18,0,8,z_Customer_Master_File_____ARCUST,0.00%
WEB_SITE_ADDRESS_____CWEBS,1,Text,75,1 (1278),"                                                  ,                                                   ,                                                   ,                                                   , MB QUOTED                                         ","1,278",0,varchar,-50,0,8,z_Customer_Master_File_____ARCUST,0.00%
Orig_Slsmn_One#_____CSLM1O,1,Money/Numeric,22,1 (1278),"1, 57, 20, 12, 2","1,278",0,decimal,"(2,0)",0,3,z_Customer_Master_File_____ARCUST,0.00%
Salesman_One_Number_____CSLMN1,1,Money/Numeric,19,"99 (415), 57 (259), 9 (139), 10 (125), 20 (71), 1 (65), 4 (55), 12 (39), 3 (30), 8 (17)","57, 11, 99, 57, 57","1,278",0,decimal,"(2,0)",0,3,z_Customer_Master_File_____ARCUST,0.00%
Multi_Bill_____CFLAG9,1,Category/Code,6,"N (817),   (449), 0 (6), 1 (3), 4 (2), 2 (1)","N, N,  ,  , N","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
Risk_Flag_Y_N_H_____CRSYNH,1,Category/Code,3,"Y (855), H (399), N (24)","Y, Y, Y, Y, Y","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
Special_Invoice_Handling_Y_or_N_____CSPCYN,1,Category/Code,3,"E (981), Y (290), N (7)","E, Y, E, E, E","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
Subject_to_Purge_____CPURG,1,Category/Code,3,"Y (1256), N (21), M (1)","Y, Y, Y, Y, Y","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
A=ACTIVE__I=INACTIVE_D=DELETED_____CRECD,1,Category/Code,2,"A (1167), I (111)","A, A, A, A, A","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
Auto_Inv_Upd_____CFLAG1,1,Category/Code,2,"N (815), Y (463)","N, N, Y, N, N","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
BOL_Dft_Print_Heat_____CFLG14,1,Category/Code,2,"Y (1247), N (31)","Y, Y, Y, Y, Y","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
BOL_Dft_Print_M/C_____CFLG15,1,Category/Code,2,"Y (1247), N (31)","Y, Y, Y, Y, Y","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
Dflt_email_____CFLG10,1,Category/Code,2,"N (815),   (463)"," , N, N, N,  ","1,278",0,varchar,-1,0,7,z_Customer_Master_File_____ARCUST,0.00%
Prv_Cust_#_X-ref_____CXREF,1,Category/Code,2,"                (1261), NOASIAN         (17)","               ,                ,                ,                ,                ","1,278",0,varchar,-15,0,7,z_Customer_Master_File_____ARCUST,0.00%
Customer_Parent_Code_____CCPCOD,1,FK,8,"     (1260), WEAT (5), WECA (3), W74  (3), TXST (2), AIT  (2), DRIL (2), PRIM (1)","    ,     ,     ,     ,     ","1,278",0,varchar,-4,0,2,z_Customer_Master_File_____ARCUST,0.00%
EDI_AGENCY_CODE_____CEDIAG,1,FK,2,"ST (1275),    (3)","ST, ST, ST, ST, ST","1,278",0,varchar,-2,0,2,z_Customer_Master_File_____ARCUST,0.00%
FEDERAL_TAX_CODE_____CFDCD,1,FK,2,"    (1158), GST (120)","   , GST,    ,    ,    ","1,278",0,varchar,-3,0,2,z_Customer_Master_File_____ARCUST,0.00%
City_Code_____CCTCD,1,FK,1,-1278,"   ,    ,    ,    ,    ","1,278",0,varchar,-3,0,2,z_Customer_Master_File_____ARCUST,0.00%
City_Tax_Code_____CCITTX,1,FK,1,-1278,"     ,      ,      ,      ,      ","1,278",0,varchar,-5,0,2,z_Customer_Master_File_____ARCUST,0.00%
County_Code_____CCNTY,1,FK,1,-1278,"  ,   ,   ,   ,   ","1,278",0,varchar,-2,0,2,z_Customer_Master_File_____ARCUST,0.00%
County_Tax_Code_____CCNTTX,1,FK,1,-1278,"   ,    ,    ,    ,    ","1,278",0,varchar,-3,0,2,z_Customer_Master_File_____ARCUST,0.00%
Customer_Addition_Code_____CCADDC,1,FK,1,-1278," ,  ,  ,  ,  ","1,278",0,varchar,-1,0,2,z_Customer_Master_File_____ARCUST,0.00%
Customer_Pricing_Code_____CPRCOD,1,FK,1,-1278,"  ,   ,   ,   ,   ","1,278",0,varchar,-2,0,2,z_Customer_Master_File_____ARCUST,0.00%
Delivery_Date_Code_____CDDCD,1,FK,1,A (1278),"A, A, A, A, A","1,278",0,varchar,-1,0,2,z_Customer_Master_File_____ARCUST,0.00%
Transaction_#_____BSORDR,1,FK,"33,044","857732.0, 953921.0, 873305.0, 839827.0, 831684.0",Distinct: 33044,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Move_Order_weight_override_____BSMOWO,1,Text,"23,025","685.80799999999999, 671.84699999999998, 1858.3510000000001, 163.56100000000001, 3852.8800000000001",Distinct: 23025,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
SPO_DESCRIPTION_____BSDESC,1,Text,"3,431","8.7500 OD 6.5000 ID 1.1250 WALL    , 3.5000 OD 2.2500 ID .6250 WALL     , 10.0000 ROUND BAR                  , 12.5000 OD 8.0000 ID 2.2500 WALL   , 7.2500 ROUND BAR                   ",Distinct: 3431,"54,512",0,nvarchar,(MAX),44,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.08%
SPO_DESCRIPTION_2_____BSDES2,1,Text,"3,845","HF 4130 80KSI NQT(187-237 HBW)     , HF  4330V 150 KSI NQT              , HF 4340 125 KSI NQT++..            , HF 4340  ANN                       , HF 4340 ANN.                       ",Distinct: 3845,"54,512",0,nvarchar,(MAX),315,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.58%
TRANSACTION_TYPE_____BSTRNT,1,Flag (2 Values),2,"OE, OE, OE, OE, OE","OE (54125), QE (387)","54,512",Flag,nvarchar,(MAX),0,10,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
CUSTOMER_NUMBER_____BSCUS#,1,Text,652,"1012.0, 576.0, 227.0, 102.0, 102.0",Distinct: 652,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
CALCULATING_LENGTH_____BSLENG,1,Text,"3,110","79.75, 306.5, 312.0, 276.5, 22.199999999999999",Distinct: 3110,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Density_Factor_____BSDENF,1,Text,45,"0.2833, 0.28299999999999997, 0.2833, 0.28299999999999997, 0.28299999999999997",Distinct: 45,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Inner_Diameter_____BSIND,1,Text,592,"6.6200000000000001, 12.0, 6.25, 7.5, 0.0",Distinct: 592,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Mail-To_Seq_Number_____BSMAIL,1,Text,25,"0.0, 0.0, 0.0, 0.0, 0.0",Distinct: 25,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
ORDER_QUANTITY_____BSIQTY,1,Text,186,"2.0, 2.0, 2.0, 1.0, 1.0",Distinct: 186,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Outside_Diameter_____BSOUTD,1,Text,562,"8.5, 17.0, 27.0, 18.253, 16.25",Distinct: 562,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Salesman_____BSSMN#,1,Text,24,"8.0, 1.0, 1.0, 1.0, 12.0",Distinct: 24,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Ship_To_Vendor_#_____BSSVEN,1,Text,52,"120.0, 119.0, 121.0, 119.0, 121.0",Distinct: 52,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Vendor_#_____BSVNDR,1,Text,52,"121.0, 119.0, 121.0, 119.0, 180.0",Distinct: 52,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Vendor_Ship-to_Seq#_____BSSHIP,1,Text,40,"0.0, 0.0, 0.0, 0.0, 0.0",Distinct: 40,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Wall_____BSWALL,1,Text,770,"0.0, 1.5, 1.5, 0.0, 1.4379999999999999",Distinct: 770,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Weight_Factor_____BSWGTF,1,Text,"2,635","8.6823515600000007, 6.1262672599999997, 50.847323690000003, 11.50237935, 25.3385748",Distinct: 2635,"54,512",0,nvarchar,(MAX),0,4,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Confirmation_Century_____BSCOCC,1,Date (Suffix),1,"0.0, 0.0, 0.0, 0.0, 0.0",0.0 (54512),"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Confirmation_Day_____BSCODD,1,Date (Suffix),1,"0.0, 0.0, 0.0, 0.0, 0.0",0.0 (54512),"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Confirmation_Month_____BSCOMM,1,Date (Suffix),1,"0.0, 0.0, 0.0, 0.0, 0.0",0.0 (54512),"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Confirmation_Year_____BSCOYY,1,Date (Suffix),1,"0.0, 0.0, 0.0, 0.0, 0.0",0.0 (54512),"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Due_Century_____BSDUCC,1,Date (Suffix),1,"20.0, 20.0, 20.0, 20.0, 20.0",20.0 (54512),"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Due_Day_____BSDUDD,1,Date (Suffix),31,"2.0, 10.0, 11.0, 23.0, 25.0",Distinct: 31,"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Due_Month_____BSDUMM,1,Date (Suffix),12,"5.0, 8.0, 2.0, 2.0, 6.0","3.0 (5270), 4.0 (4907), 2.0 (4842), 1.0 (4785), 5.0 (4754), 6.0 (4583), 8.0 (4518), 10.0 (4508), 7.0 (4353), 11.0 (4204)","54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Due_Year_____BSDUYY,1,Date (Suffix),13,"20.0, 21.0, 24.0, 21.0, 25.0","22.0 (9048), 19.0 (7319), 23.0 (7098), 18.0 (6478), 21.0 (6283), 24.0 (6100), 17.0 (5217), 20.0 (4742), 25.0 (2066), 16.0 (107)","54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
P/O_Century_____BSPOCC,1,Date (Suffix),1,"20.0, 20.0, 20.0, 20.0, 20.0",20.0 (54512),"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
P/O_Day_____BSPODD,1,Date (Suffix),31,"18.0, 14.0, 30.0, 5.0, 31.0",Distinct: 31,"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
P/O_Month_____BSPOMM,1,Date (Suffix),12,"1.0, 9.0, 6.0, 6.0, 10.0","3.0 (5326), 1.0 (5024), 2.0 (4842), 4.0 (4838), 6.0 (4675), 5.0 (4554), 10.0 (4545), 7.0 (4320), 8.0 (4250), 12.0 (4184)","54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
P/O_Year_____BSPOYY,1,Date (Suffix),13,"23.0, 21.0, 23.0, 17.0, 19.0","22.0 (9027), 19.0 (7186), 23.0 (6951), 18.0 (6625), 21.0 (6492), 24.0 (6114), 17.0 (5278), 20.0 (4691), 25.0 (1878), 16.0 (195)","54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Ship_Date_Century_____BSSHCC,1,Date (Suffix),2,"20.0, 20.0, 20.0, 20.0, 20.0","20.0 (54503), 0.0 (9)","54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Ship_Date_Day_____BSSHDD,1,Date (Suffix),32,"6.0, 27.0, 26.0, 6.0, 22.0",Distinct: 32,"54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
Ship_Date_Month_____BSSHMM,1,Date (Suffix),13,"1.0, 3.0, 2.0, 7.0, 6.0","3.0 (5265), 1.0 (5026), 4.0 (4905), 2.0 (4822), 6.0 (4655), 5.0 (4622), 10.0 (4561), 8.0 (4398), 7.0 (4306), 12.0 (4011)","54,512",0,nvarchar,(MAX),0,11,z_Service_Purchase_Order_Header_File_____SPHEADER,0.00%
